Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：红色染色玻璃
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃
thermaldynamics:cover:0, 覆盖板：石头怪物蛋
thermaldynamics:cover:0, 覆盖板：圆石怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：苔石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：裂石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：錾制石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖
thermaldynamics:cover:0, 覆盖板：苔石砖
thermaldynamics:cover:0, 覆盖板：裂石砖
thermaldynamics:cover:0, 覆盖板：錾制石砖
thermaldynamics:cover:0, 覆盖板：铁栏杆
thermaldynamics:cover:0, 覆盖板：玻璃板
thermaldynamics:cover:0, 覆盖板：西瓜
thermaldynamics:cover:0, 覆盖板：砖楼梯
thermaldynamics:cover:0, 覆盖板：石砖楼梯
thermaldynamics:cover:0, 覆盖板：菌丝
thermaldynamics:cover:0, 覆盖板：地狱砖
thermaldynamics:cover:0, 覆盖板：地狱砖楼梯
thermaldynamics:cover:0, 覆盖板：末地传送门
thermaldynamics:cover:0, 覆盖板：末地石
thermaldynamics:cover:0, 覆盖板：红石灯
thermaldynamics:cover:0, 覆盖板：橡木台阶
thermaldynamics:cover:0, 覆盖板：云杉木台阶
thermaldynamics:cover:0, 覆盖板：桦木台阶
thermaldynamics:cover:0, 覆盖板：丛林木台阶
thermaldynamics:cover:0, 覆盖板：金合欢木台阶
thermaldynamics:cover:0, 覆盖板：深色橡木台阶
thermaldynamics:cover:0, 覆盖板：砂岩楼梯
thermaldynamics:cover:0, 覆盖板：绿宝石矿石
thermaldynamics:cover:0, 覆盖板：绊线钩
thermaldynamics:cover:0, 覆盖板：绿宝石块
thermaldynamics:cover:0, 覆盖板：云杉木楼梯
thermaldynamics:cover:0, 覆盖板：桦木楼梯
thermaldynamics:cover:0, 覆盖板：丛林木楼梯
thermaldynamics:cover:0, 覆盖板：红石块
thermaldynamics:cover:0, 覆盖板：下界石英矿石
thermaldynamics:cover:0, 覆盖板：石英块
thermaldynamics:cover:0, 覆盖板：錾制石英块
thermaldynamics:cover:0, 覆盖板：竖纹石英块
thermaldynamics:cover:0, 覆盖板：石英楼梯
thermaldynamics:cover:0, 覆盖板：白色陶瓦
thermaldynamics:cover:0, 覆盖板：橙色陶瓦
thermaldynamics:cover:0, 覆盖板：品红色陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：黄色陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色陶瓦
thermaldynamics:cover:0, 覆盖板：灰色陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色陶瓦
thermaldynamics:cover:0, 覆盖板：青色陶瓦
thermaldynamics:cover:0, 覆盖板：紫色陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：棕色陶瓦
thermaldynamics:cover:0, 覆盖板：绿色陶瓦
thermaldynamics:cover:0, 覆盖板：红色陶瓦
thermaldynamics:cover:0, 覆盖板：黑色陶瓦
thermaldynamics:cover:0, 覆盖板：白色染色玻璃板
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃板
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：青色染色玻璃板
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃板
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃板
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃板
thermaldynamics:cover:0, 覆盖板：金合欢树叶
thermaldynamics:cover:0, 覆盖板：深色橡树树叶
thermaldynamics:cover:0, 覆盖板：金合欢木
thermaldynamics:cover:0, 覆盖板：深色橡木
thermaldynamics:cover:0, 覆盖板：金合欢木楼梯
thermaldynamics:cover:0, 覆盖板：深色橡木楼梯
thermaldynamics:cover:0, 覆盖板：海晶石
thermaldynamics:cover:0, 覆盖板：海晶石砖
thermaldynamics:cover:0, 覆盖板：暗海晶石
thermaldynamics:cover:0, 覆盖板：海晶灯
thermaldynamics:cover:0, 覆盖板：干草块
thermaldynamics:cover:0, 覆盖板：陶瓦
thermaldynamics:cover:0, 覆盖板：煤炭块
thermaldynamics:cover:0, 覆盖板：浮冰
thermaldynamics:cover:0, 覆盖板：红砂岩
thermaldynamics:cover:0, 覆盖板：錾制红砂岩
thermaldynamics:cover:0, 覆盖板：平滑红砂岩
thermaldynamics:cover:0, 覆盖板：红砂岩楼梯
thermaldynamics:cover:0, 覆盖板：红砂岩台阶
thermaldynamics:cover:0, 覆盖板：紫珀块
thermaldynamics:cover:0, 覆盖板：竖纹紫珀块
thermaldynamics:cover:0, 覆盖板：紫珀楼梯
thermaldynamics:cover:0, 覆盖板：紫珀台阶
thermaldynamics:cover:0, 覆盖板：末地石砖
thermaldynamics:cover:0, 覆盖板：岩浆块
thermaldynamics:cover:0, 覆盖板：地狱疣块
thermaldynamics:cover:0, 覆盖板：红色地狱砖
thermaldynamics:cover:0, 覆盖板：骨块
thermaldynamics:cover:0, 覆盖板：侦测器
thermaldynamics:cover:0, 覆盖板：白色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：橙色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：品红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：青色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：紫色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：棕色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黑色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：白色混凝土
thermaldynamics:cover:0, 覆盖板：橙色混凝土
thermaldynamics:cover:0, 覆盖板：品红色混凝土
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土
thermaldynamics:cover:0, 覆盖板：黄色混凝土
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土
thermaldynamics:cover:0, 覆盖板：粉红色混凝土
thermaldynamics:cover:0, 覆盖板：灰色混凝土
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土
thermaldynamics:cover:0, 覆盖板：青色混凝土
thermaldynamics:cover:0, 覆盖板：紫色混凝土
thermaldynamics:cover:0, 覆盖板：蓝色混凝土
thermaldynamics:cover:0, 覆盖板：棕色混凝土
thermaldynamics:cover:0, 覆盖板：绿色混凝土
thermaldynamics:cover:0, 覆盖板：红色混凝土
thermaldynamics:cover:0, 覆盖板：黑色混凝土
thermaldynamics:cover:0, 覆盖板：白色混凝土粉末
thermaldynamics:cover:0, 覆盖板：橙色混凝土粉末
thermaldynamics:cover:0, 覆盖板：品红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：粉红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：青色混凝土粉末
thermaldynamics:cover:0, 覆盖板：紫色混凝土粉末
thermaldynamics:cover:0, 覆盖板：蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：棕色混凝土粉末
thermaldynamics:cover:0, 覆盖板：绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黑色混凝土粉末
thermaldynamics:cover:0, 覆盖板：压缩工作台
thermaldynamics:cover:0, 覆盖板：二重压缩工作台
thermaldynamics:cover:0, 覆盖板：中子素块
thermaldynamics:cover:0, 覆盖板：无尽块
thermaldynamics:cover:0, 覆盖板：水晶矩阵
thermaldynamics:cover:0, 覆盖板：温室玻璃
thermaldynamics:cover:0, 覆盖板：梯子活板门
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：电梯
thermaldynamics:cover:0, 覆盖板：海绵
thermaldynamics:cover:0, 覆盖板：铺路石
thermaldynamics:cover:0, 覆盖板：绳梯
thermaldynamics:cover:0, 覆盖板：脚手架
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：银矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：铝矿石
thermaldynamics:cover:0, 覆盖板：镍矿石
thermaldynamics:cover:0, 覆盖板：铂矿石
thermaldynamics:cover:0, 覆盖板：铱矿石
thermaldynamics:cover:0, 覆盖板：蕴魔秘银矿石
thermaldynamics:cover:0, 覆盖板：油砂
thermaldynamics:cover:0, 覆盖板：油页岩
thermaldynamics:cover:0, 覆盖板：不稳定红石矿石
thermaldynamics:cover:0, 覆盖板：充能地狱岩
thermaldynamics:cover:0, 覆盖板：谐振末影矿石
thermaldynamics:cover:0, 覆盖板：油砂
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：铝块
thermaldynamics:cover:0, 覆盖板：镍块
thermaldynamics:cover:0, 覆盖板：铂块
thermaldynamics:cover:0, 覆盖板：铱块
thermaldynamics:cover:0, 覆盖板：蕴魔秘银块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：琥珀金块
thermaldynamics:cover:0, 覆盖板：殷钢块
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：康铜块
thermaldynamics:cover:0, 覆盖板：信素块
thermaldynamics:cover:0, 覆盖板：流明块
thermaldynamics:cover:0, 覆盖板：末影块
thermaldynamics:cover:0, 覆盖板：木炭块
thermaldynamics:cover:0, 覆盖板：焦炭块
thermaldynamics:cover:0, 覆盖板：硬化铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化锡玻璃
thermaldynamics:cover:0, 覆盖板：硬化银玻璃
thermaldynamics:cover:0, 覆盖板：硬化玻璃
thermaldynamics:cover:0, 覆盖板：硬化铝玻璃
thermaldynamics:cover:0, 覆盖板：硬化镍玻璃
thermaldynamics:cover:0, 覆盖板：硬化铂玻璃
thermaldynamics:cover:0, 覆盖板：硬化铱玻璃
thermaldynamics:cover:0, 覆盖板：硬化蕴魔秘银玻璃
thermaldynamics:cover:0, 覆盖板：硬化钢玻璃
thermaldynamics:cover:0, 覆盖板：硬化琥珀金玻璃
thermaldynamics:cover:0, 覆盖板：硬化殷钢玻璃
thermaldynamics:cover:0, 覆盖板：硬化青铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化康铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化信素玻璃
thermaldynamics:cover:0, 覆盖板：硬化流明玻璃
thermaldynamics:cover:0, 覆盖板：硬化末影玻璃
thermaldynamics:cover:0, 覆盖板：黑色石棉
thermaldynamics:cover:0, 覆盖板：红色石棉
thermaldynamics:cover:0, 覆盖板：绿色石棉
thermaldynamics:cover:0, 覆盖板：棕色石棉
thermaldynamics:cover:0, 覆盖板：蓝色石棉
thermaldynamics:cover:0, 覆盖板：紫色石棉
thermaldynamics:cover:0, 覆盖板：青色石棉
thermaldynamics:cover:0, 覆盖板：淡灰色石棉
thermaldynamics:cover:0, 覆盖板：灰色石棉
thermaldynamics:cover:0, 覆盖板：粉红色石棉
thermaldynamics:cover:0, 覆盖板：黄绿色石棉
thermaldynamics:cover:0, 覆盖板：黄色石棉
thermaldynamics:cover:0, 覆盖板：淡蓝色石棉
thermaldynamics:cover:0, 覆盖板：品红色石棉
thermaldynamics:cover:0, 覆盖板：橙色石棉
thermaldynamics:cover:0, 覆盖板：白色石棉
thermaldynamics:cover:0, 覆盖板：龙矿
thermaldynamics:cover:0, 覆盖板：下界龙矿
thermaldynamics:cover:0, 覆盖板：末地龙矿
thermaldynamics:cover:0, 覆盖板：龙块
thermaldynamics:cover:0, 覆盖板：充能龙块
thermaldynamics:cover:0, 覆盖板：觉醒龙块
thermaldynamics:cover:0, 覆盖板：注入龙力的黑曜石
thermaldynamics:cover:0, 覆盖板：物品磁铁消磁器
thermaldynamics:cover:0, 覆盖板：雨水传感器
simplevoidworld:portal, 虚空世界传送门
redstonearsenal:storage:0, 红石琥珀金块
redstonearsenal:storage:1, 红石水晶块
redstonearsenal:material:0, 红石琥珀金粉末
redstonearsenal:material:32, 红石琥珀金锭
redstonearsenal:material:64, 红石琥珀金粒
redstonearsenal:material:96, 红石琥珀金齿轮
redstonearsenal:material:128, 红石琥珀金板
redstonearsenal:material:160, 红石水晶
redstonearsenal:material:192, 黑曜石手柄
redstonearsenal:material:193, 充能黑曜石手柄
redstonearsenal:material:224, 红石护甲防护板
redstonearsenal:util.quiver_flux, 红石充能箭袋
redstonearsenal:armor.helmet_flux, 红石充能头盔
redstonearsenal:armor.plate_flux, 红石充能胸甲
redstonearsenal:armor.legs_flux, 红石充能护腿
redstonearsenal:armor.boots_flux, 红石充能靴子
redstonearsenal:tool.wrench_flux, 红石充能新月锤
redstonearsenal:tool.battlewrench_flux, 红石充能战锤
redstonearsenal:tool.sword_flux, 红石充能剑
redstonearsenal:tool.shovel_flux, 红石充能锹
redstonearsenal:tool.pickaxe_flux, 红石充能镐
redstonearsenal:tool.axe_flux, 红石充能斧
redstonearsenal:tool.bow_flux, 红石充能弓
redstonearsenal:tool.fishing_rod_flux, 红石充能鱼竿
redstonearsenal:tool.sickle_flux, 红石充能镰刀
redstonearsenal:tool.hammer_flux, 红石充能锤
redstonearsenal:tool.excavator_flux, 红石充能开掘铲
redstonearsenal:tool.shield_flux, 红石充能盾
reccomplex:block_selector, 方块选择工具
reccomplex:block_selector_floating, 浮空方块选择工具
reccomplex:inventory_generation_tag, 物品栏生成标签
reccomplex:inventory_generation_single_tag, 单一战利品生成标签
reccomplex:inventory_generation_component_tag, 战利品列表组件标签
reccomplex:artifact_generation_tag, 遗物生成标签
reccomplex:book_generation_tag, 书本生成标签
reccomplex:generic_space:0, 空间（0 ~ 负空间）
reccomplex:generic_space:1, 空间（1 ~ 自然空气）
reccomplex:generic_space:2, 空间（2）
reccomplex:generic_space:3, 空间（3）
reccomplex:generic_space:4, 空间（4）
reccomplex:generic_space:5, 空间（5）
reccomplex:generic_space:6, 空间（6）
reccomplex:generic_space:7, 空间（7）
reccomplex:generic_space:8, 空间（8）
reccomplex:generic_space:9, 空间（9）
reccomplex:generic_space:10, 空间（10）
reccomplex:generic_space:11, 空间（11）
reccomplex:generic_space:12, 空间（12）
reccomplex:generic_space:13, 空间（13）
reccomplex:generic_space:14, 空间（14）
reccomplex:generic_space:15, 空间（15）
reccomplex:generic_solid:0, 实体（0 ~ 自然地面）
reccomplex:generic_solid:1, 实体（1 ~ 屏障）
reccomplex:generic_solid:2, 实体（2）
reccomplex:generic_solid:3, 实体（3）
reccomplex:generic_solid:4, 实体（4）
reccomplex:generic_solid:5, 实体（5）
reccomplex:generic_solid:6, 实体（6）
reccomplex:generic_solid:7, 实体（7）
reccomplex:generic_solid:8, 实体（8）
reccomplex:generic_solid:9, 实体（9）
reccomplex:generic_solid:10, 实体（10）
reccomplex:generic_solid:11, 实体（11）
reccomplex:generic_solid:12, 实体（12）
reccomplex:generic_solid:13, 实体（13）
reccomplex:generic_solid:14, 实体（14）
reccomplex:generic_solid:15, 实体（15）
reccomplex:structure_generator, 结构生成器
reccomplex:maze_generator, 迷宫生成器
reccomplex:weighted_command_block, tile.spawn_command.name
reccomplex:spawn_script, 脚本方块
reccomplex:inspector, 检查器
biomesoplenty:grass:0, 末地苔石
biomesoplenty:grass:1, 杂草丛生的石头
biomesoplenty:grass:2, 壤质草方块
biomesoplenty:grass:3, 沙质草方块
biomesoplenty:grass:4, 淤泥草方块
biomesoplenty:grass:5, 原始草方块
biomesoplenty:grass:6, 杂草丛生的地狱岩
biomesoplenty:grass:7, 开花草地
biomesoplenty:grass:8, 菌丝寄生的地狱岩
biomesoplenty:dirt:8, 粗壤土
biomesoplenty:dirt:0, 壤质土
biomesoplenty:dirt:9, 粗沙土
biomesoplenty:dirt:1, 沙质土
biomesoplenty:dirt:10, 粗淤土
biomesoplenty:dirt:2, 淤泥土
biomesoplenty:grass_path:0, 壤质草径
biomesoplenty:grass_path:1, 沙质草径
biomesoplenty:grass_path:2, 淤泥草径
biomesoplenty:farmland_0:0, 壤土耕地
biomesoplenty:farmland_0:1, 砂质耕地
biomesoplenty:farmland_1:0, 淤质耕地
biomesoplenty:white_sand:0, 白沙
biomesoplenty:white_sandstone:0, 白砂岩
biomesoplenty:white_sandstone:1, 錾制白砂岩
biomesoplenty:white_sandstone:2, 平滑白砂岩
biomesoplenty:white_sandstone_stairs:0, 白砂岩楼梯
biomesoplenty:dried_sand:0, 干沙
biomesoplenty:hard_ice:0, 硬化冰块
biomesoplenty:ash_block:0, 灰
biomesoplenty:mud:0, 泥巴
biomesoplenty:flesh:0, 肉
biomesoplenty:crystal:0, 仙域水晶
biomesoplenty:biome_block:0, 生物精华矿石
biomesoplenty:gem_ore:0, 末影紫水晶矿石
biomesoplenty:gem_ore:1, 红宝石矿石
biomesoplenty:gem_ore:2, 橄榄石矿石
biomesoplenty:gem_ore:3, 黄玉矿石
biomesoplenty:gem_ore:4, 坦桑矿石
biomesoplenty:gem_ore:5, 孔雀石矿石
biomesoplenty:gem_ore:6, 蓝宝石矿石
biomesoplenty:gem_ore:7, 琥珀矿石
biomesoplenty:gem_block:0, 紫水晶块
biomesoplenty:gem_block:1, 红宝石块
biomesoplenty:gem_block:2, 橄榄石块
biomesoplenty:gem_block:3, 黄玉块
biomesoplenty:gem_block:4, 坦桑石块
biomesoplenty:gem_block:5, 孔雀石块
biomesoplenty:gem_block:6, 蓝宝石块
biomesoplenty:gem_block:7, 琥珀块
biomesoplenty:hive:0, 蜂房方块
biomesoplenty:hive:1, 蜂房方块
biomesoplenty:hive:2, 空的蜂房方块
biomesoplenty:hive:3, 满的蜂房方块
biomesoplenty:honey_block:0, 蜂蜜块
biomesoplenty:blue_fire:0, 蓝火
biomesoplenty:bamboo_thatching:0, 竹块
biomesoplenty:mud_brick_block:0, 泥砖
biomesoplenty:mud_brick_stairs:0, 泥砖楼梯
biomesoplenty:other_slab:0, 泥砖台阶
biomesoplenty:other_slab:1, 白砂岩台阶
biomesoplenty:log_0:4, 神圣橡木
biomesoplenty:log_0:5, 樱花木
biomesoplenty:log_0:6, 暗影木
biomesoplenty:log_0:7, 杉木
biomesoplenty:log_1:4, 天域木
biomesoplenty:log_1:5, 魔法木
biomesoplenty:log_1:6, 美洲红木
biomesoplenty:log_1:7, 棕榈木
biomesoplenty:log_2:4, 红木原木
biomesoplenty:log_2:5, 柳木
biomesoplenty:log_2:6, 松木
biomesoplenty:log_2:7, 地狱皮木
biomesoplenty:log_3:4, 蓝花楹木
biomesoplenty:log_3:5, 桃花心木
biomesoplenty:log_3:6, 檀木
biomesoplenty:log_3:7, 桉木
biomesoplenty:log_4:4, 巨大花茎
biomesoplenty:log_4:5, 垂死木
biomesoplenty:leaves_0:8, 黄秋叶
biomesoplenty:leaves_0:9, 橙秋叶
biomesoplenty:leaves_0:10, 竹叶
biomesoplenty:leaves_0:11, 魔法树树叶
biomesoplenty:leaves_1:8, 暗影树树叶
biomesoplenty:leaves_1:9, 垂死树树叶
biomesoplenty:leaves_1:10, 杉树树叶
biomesoplenty:leaves_1:11, 天域树树叶
biomesoplenty:leaves_2:8, 原始树树叶
biomesoplenty:leaves_2:9, 粉红色樱花树树叶
biomesoplenty:leaves_2:10, 白色樱花树树叶
biomesoplenty:leaves_2:11, 枫树树叶
biomesoplenty:leaves_3:8, 地狱皮树树叶
biomesoplenty:leaves_3:9, 花橡树树叶
biomesoplenty:leaves_3:10, 蓝花楹树树叶
biomesoplenty:leaves_3:11, 神圣橡树树叶
biomesoplenty:leaves_4:8, 美洲红树树叶
biomesoplenty:leaves_4:9, 棕榈树树叶
biomesoplenty:leaves_4:10, 红木树树叶
biomesoplenty:leaves_4:11, 柳树树叶
biomesoplenty:leaves_5:8, 松树树叶
biomesoplenty:leaves_5:9, 桃花心树树叶
biomesoplenty:leaves_5:10, 檀木树树叶
biomesoplenty:leaves_5:11, 桉树树叶
biomesoplenty:leaves_6:8, 巨型红色花瓣
biomesoplenty:leaves_6:9, 巨型黄色花瓣
biomesoplenty:planks_0:0, 神圣橡木木板
biomesoplenty:planks_0:1, 樱花木木板
biomesoplenty:planks_0:2, 暗影木木板
biomesoplenty:planks_0:3, 杉木木板
biomesoplenty:planks_0:4, 天域木木板
biomesoplenty:planks_0:5, 魔法木木板
biomesoplenty:planks_0:6, 美洲红木木板
biomesoplenty:planks_0:7, 棕榈木木板
biomesoplenty:planks_0:8, 红木木板
biomesoplenty:planks_0:9, 柳木木板
biomesoplenty:planks_0:10, 松木木板
biomesoplenty:planks_0:11, 地狱皮木木板
biomesoplenty:planks_0:12, 蓝花楹木木板
biomesoplenty:planks_0:13, 桃花心木木板
biomesoplenty:planks_0:14, 檀木木板
biomesoplenty:planks_0:15, 桉木木板
biomesoplenty:sacred_oak_stairs:0, 神圣橡木楼梯
biomesoplenty:cherry_stairs:0, 樱桃木楼梯
biomesoplenty:umbran_stairs:0, 暗影木楼梯
biomesoplenty:fir_stairs:0, 杉木楼梯
biomesoplenty:ethereal_stairs:0, 天域木楼梯
biomesoplenty:magic_stairs:0, 魔法木楼梯
biomesoplenty:mangrove_stairs:0, 红树木楼梯
biomesoplenty:palm_stairs:0, 古代植物楼梯
biomesoplenty:redwood_stairs:0, 红木楼梯
biomesoplenty:willow_stairs:0, 垂枝树楼梯
biomesoplenty:pine_stairs:0, 雾朦松木楼梯
biomesoplenty:hellbark_stairs:0, 地狱皮树楼梯
biomesoplenty:jacaranda_stairs:0, 蓝花楹木楼梯
biomesoplenty:mahogany_stairs:0, 桃花心木楼梯
biomesoplenty:ebony_stairs:0, 檀木楼梯
biomesoplenty:eucalyptus_stairs:0, 桉木楼梯
biomesoplenty:wood_slab_0:0, 神圣橡木台阶
biomesoplenty:wood_slab_0:1, 樱花木台阶
biomesoplenty:wood_slab_0:2, 暗影木台阶
biomesoplenty:wood_slab_0:3, 杉木台阶
biomesoplenty:wood_slab_0:4, 天域木台阶
biomesoplenty:wood_slab_0:5, 魔法木台阶
biomesoplenty:wood_slab_0:6, 美洲红木台阶
biomesoplenty:wood_slab_0:7, 棕榈木台阶
biomesoplenty:wood_slab_1:0, 红木台阶
biomesoplenty:wood_slab_1:1, 柳树台阶
biomesoplenty:wood_slab_1:2, 松木台阶
biomesoplenty:wood_slab_1:3, 地狱皮树台阶
biomesoplenty:wood_slab_1:4, 蓝花楹木台阶
biomesoplenty:wood_slab_1:5, 桃花心木台阶
biomesoplenty:wood_slab_1:6, 檀木台阶
biomesoplenty:wood_slab_1:7, 桉木台阶
biomesoplenty:sacred_oak_fence:0, 神圣橡木栅栏
biomesoplenty:cherry_fence:0, 樱桃木栅栏
biomesoplenty:umbran_fence:0, 暗影木栅栏
biomesoplenty:fir_fence:0, 杉木栅栏
biomesoplenty:ethereal_fence:0, 天域木栅栏
biomesoplenty:magic_fence:0, 魔法木栅栏
biomesoplenty:mangrove_fence:0, 红树木栅栏
biomesoplenty:palm_fence:0, 古树栅栏
biomesoplenty:redwood_fence:0, 红木栅栏
biomesoplenty:willow_fence:0, 柳木栅栏
biomesoplenty:pine_fence:0, 松木栅栏
biomesoplenty:hellbark_fence:0, 地狱皮树栅栏
biomesoplenty:jacaranda_fence:0, 蓝花楹栅栏
biomesoplenty:mahogany_fence:0, 桃花心木栅栏
biomesoplenty:ebony_fence:0, 檀木栅栏
biomesoplenty:eucalyptus_fence:0, 桉木栅栏
biomesoplenty:sacred_oak_fence_gate:0, 神圣橡木栅栏门
biomesoplenty:cherry_fence_gate:0, 樱桃木栅栏门
biomesoplenty:umbran_fence_gate:0, 暗影木栅栏门
biomesoplenty:fir_fence_gate:0, 杉木栅栏门
biomesoplenty:ethereal_fence_gate:0, 天域木栅栏门
biomesoplenty:magic_fence_gate:0, 魔法木栅栏门
biomesoplenty:mangrove_fence_gate:0, 红树木栅栏门
biomesoplenty:palm_fence_gate:0, 古树栅栏门
biomesoplenty:redwood_fence_gate:0, 红木栅栏门
biomesoplenty:willow_fence_gate:0, 柳木栅栏门
biomesoplenty:pine_fence_gate:0, 松木栅栏门
biomesoplenty:hellbark_fence_gate:0, 地狱皮树栅栏门
biomesoplenty:jacaranda_fence_gate:0, 蓝花楹栅栏门
biomesoplenty:mahogany_fence_gate:0, 桃花心木栅栏门
biomesoplenty:ebony_fence_gate:0, 檀木栅栏门
biomesoplenty:eucalyptus_fence_gate:0, 桉木栅栏门
biomesoplenty:sacred_oak_door, 神圣橡木门
biomesoplenty:cherry_door, 樱花木门
biomesoplenty:umbran_door, 暗影木门
biomesoplenty:fir_door, 杉木门
biomesoplenty:ethereal_door, 天域木门
biomesoplenty:magic_door, 魔法木门
biomesoplenty:mangrove_door, 美洲红木门
biomesoplenty:palm_door, 棕榈木门
biomesoplenty:redwood_door, 红木门
biomesoplenty:willow_door, 柳木门
biomesoplenty:pine_door, 松木门
biomesoplenty:hellbark_door, 地狱皮木门
biomesoplenty:jacaranda_door, 蓝花楹木门
biomesoplenty:mahogany_door, 桃花心木门
biomesoplenty:ebony_door, 檀木门
biomesoplenty:eucalyptus_door, 桉木门
biomesoplenty:coral:0, 粉珊瑚
biomesoplenty:coral:1, 橙珊瑚
biomesoplenty:coral:2, 蓝珊瑚
biomesoplenty:coral:3, 夜光珊瑚
biomesoplenty:coral:4, 海藻
biomesoplenty:seaweed:0, 海带
